Date,AAL.L,ABF.L,AHT.L,ANTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BKG.L,BLND.L,BNZL.L,BP.L,BT-A.L,CNA.L,CRDA.L,DGE.L,FCIT.L,GSK.L,HLMA.L,HSBA.L,HSX.L,III.L,IMB.L,INF.L,JD.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,NG.L,NWG.L,NXT.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2000-01-04,535.354,205.926,97.59,40.313,255.62,1035.377,152.524,178.485,97.129,86.091,423.616,130.804,188.111,200.48,389.602,57.216,153.215,245.609,153.058,479.298,66.238,233.533,118.67,528.443,101.318,319.39,0.927,408.427,269.761,239.391,48.847,180.349,150.365,1768.338,293.878,396.946,82.444,748.857,267.902,509.777,307.369,40.175,141.187,142.03,92.531,419.277,257.668,43.302,626.809,67.278,149.525,229.822,134.284,378.04,117.425,263.17,99.278,46.747,461.551,162.733,72.562,115.24,512.249,382.907
2000-01-05,540.039,209.185,96.729,40.313,247.94,1014.196,149.817,174.21,98.079,85.339,418.467,131.283,189.462,200.48,366.605,59.062,160.284,248.065,151.326,478.447,65.679,224.873,85.612,510.336,106.343,310.992,0.933,420.096,275.058,244.896,47.67,180.1,151.175,1784.896,286.711,376.145,81.073,699.782,260.57,487.297,321.023,39.778,134.054,144.818,90.618,389.029,255.099,43.41,619.857,66.064,150.451,226.19,135.909,363.072,114.51,266.926,100.916,48.61,464.588,165.095,69.042,118.483,462.08,381.972
2000-01-06,553.289,229.048,95.581,40.452,245.746,1012.092,151.124,167.69,95.959,85.038,412.774,134.952,197.841,202.498,333.749,58.179,159.446,270.415,148.177,473.342,65.12,217.491,118.67,497.947,114.855,311.255,1.024,414.262,290.316,244.896,47.155,174.138,149.878,1788.207,288.144,378.919,81.073,662.695,253.52,504.589,345.267,39.424,142.822,144.402,85.567,365.37,256.199,45.236,637.239,65.778,148.813,226.19,139.496,338.598,125.908,287.255,100.916,49.795,479.77,171.526,66.95,124.22,458.119,386.337
2000-01-07,572.829,222.22,95.581,40.452,251.231,1036.115,144.964,163.949,96.836,86.694,416.044,136.547,195.408,200.817,328.821,57.136,159.708,277.538,149.121,490.359,64.841,219.195,118.67,507.477,115.675,312.304,1.021,428.848,288.62,245.962,47.449,168.052,146.8,1799.797,290.533,383.426,81.415,637.221,251.828,511.16,369.233,40.352,157.684,140.865,85.72,373.456,260.231,45.666,637.934,65.207,149.525,238.641,141.053,341.429,133.595,297.419,99.551,50.981,503.051,174.544,70.716,121.725,475.283,405.046
2000-01-10,578.852,224.548,92.711,40.685,252.877,1064.781,141.977,166.194,95.521,83.232,410.386,130.887,191.895,194.93,332.105,58.741,159.446,265.503,152.586,499.434,65.959,220.188,114.432,531.302,117.418,323.589,1.04,437.6,285.442,245.962,47.082,172.772,149.554,1814.699,281.454,396.253,81.415,734.996,276.786,499.747,361.151,40.529,152.928,138.576,91.919,401.308,259.131,44.914,637.586,66.493,149.525,244.607,144.911,349.115,127.498,294.326,96.41,49.287,484.831,177.431,74.285,121.476,498.254,392.885
2000-01-11,565.602,213.53,91.85,42.312,246.843,1057.192,134.602,161.598,89.601,82.028,411.907,130.806,191.084,191.566,322.798,58.42,160.808,258.135,151.798,502.837,66.518,213.232,116.551,523.201,111.778,330.15,1.04,467.941,244.543,243.475,45.095,164.947,147.934,1793.174,273.331,379.612,81.587,808.046,289.335,487.643,362.266,40.131,154.712,137.119,89.317,413.587,256.936,43.625,632.372,65.993,154.154,246.941,143.895,334.957,125.377,292.779,93.132,49.457,477.24,178.481,73.301,121.725,496.406,386.025
2000-01-12,559.178,221.134,89.84,42.545,241.906,1048.342,133.482,167.263,91.209,78.416,407.952,130.404,184.597,191.734,327.453,56.654,160.546,262.556,151.326,507.375,66.518,217.207,115.28,516.531,113.419,330.675,1.04,441.685,237.338,246.139,46.935,166.189,147.448,1751.781,268.552,374.065,78.673,798.68,277.209,459.283,361.43,41.546,159.765,132.334,88.016,429.759,255.099,42.765,640.715,65.993,153.798,253.167,138.345,350.734,125.908,273.997,91.903,48.779,483.819,180.975,74.408,119.979,504.592,379.165
2000-01-13,568.948,221.289,89.553,43.242,239.712,1049.184,131.709,165.232,94.498,81.275,403.389,126.385,184.868,191.903,336.487,56.333,159.708,262.31,152.271,493.478,66.518,215.929,114.856,508.43,116.188,331.463,1.11,438.184,232.252,243.475,45.169,166.313,147.286,1741.846,249.438,373.372,77.645,821.906,274.389,468.621,370.069,40.662,155.009,126.716,87.25,478.275,253.998,41.476,609.427,66.136,150.237,248.239,140.173,355.588,119.811,282.394,91.494,48.271,475.975,181.631,75.442,116.487,531.524,377.918
2000-01-14,570.019,220.823,90.989,43.707,240.261,1064.362,131.055,165.659,94.717,80.222,401.868,127.189,184.327,186.016,350.177,59.142,158.609,263.538,154.475,515.6,66.518,215.787,114.432,504.141,113.009,333.037,1.11,429.724,238.186,236.017,45.978,167.059,146.8,1710.387,253.261,380.999,77.645,807.296,282.143,465.854,368.118,41.192,156.049,132.958,88.245,486.661,252.904,40.186,612.556,66.35,145.111,245.904,145.452,364.69,127.498,282.394,92.313,47.932,489.892,176.906,80.488,114.242,564.002,361.704
2000-01-17,573.498,220.668,96.155,43.847,233.678,1060.986,130.402,157.964,93.548,79.018,397.305,123.651,184.327,185.175,364.961,57.697,157.561,255.679,154.633,491.209,66.518,214.794,114.856,511.765,116.598,338.024,1.126,423.014,229.709,232.82,45.757,166.313,144.531,1728.6,258.995,378.919,76.616,830.522,279.182,466.892,357.807,41.059,160.211,137.452,90.312,487.26,247.04,39.576,594.13,66.85,146.891,243.31,142.271,361.049,128.558,283.498,89.036,46.916,468.384,172.313,86.518,113.494,596.215,341.436
